src_ip,dst_ip,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,orig_p,resp_p,proto,service,conn_state
192.168.1.158,217.136.104.222,0.6096909978163909,448.9224619027806,132.41498642621175,5,1,33750,2323,icmp,ssh,RSTR
192.168.1.176,184.129.57.186,5.514383892022975,76.92005854859772,58.12781644937825,2,6,9729,80,icmp,ssl,RSTO
192.168.1.222,2.240.107.145,0.0813557229558846,127.41896457565542,0.0,4,0,8994,8080,icmp,ssh,S0
192.168.1.160,220.152.210.194,0.1362744422592894,135.34615597392312,0.0,2,0,53014,2323,icmp,ssh,S0
192.168.1.151,102.63.28.152,0.457680979113518,1041.3164565841269,47165.341184442026,5,16,56204,2323,icmp,http,SH
192.168.1.168,179.138.8.141,0.4005213927508818,66.12232244984858,89.85910614666787,5,3,30747,23,tcp,ssl,RSTR
192.168.1.233,38.40.107.252,0.0390337033397542,1235.237336687215,2115.613514068923,3,1,35856,23,tcp,dhcp,S0
192.168.1.167,87.90.237.45,8.176775687759053,116.08639797945038,351.29792863604484,5,1,22821,8080,udp,dns,RSTR
192.168.1.121,10.0.0.15,0.0159947785499073,1186.783064435563,50.72278965384289,92,2,6539,8080,icmp,dns,REJ
192.168.1.126,56.44.4.64,0.4016461989930946,135.4497120281584,136.88230953420995,3,1,57256,23,icmp,dhcp,SF
192.168.1.225,10.0.0.10,0.01524046135457,985.663267586264,52.56054864283259,42,1,46838,23,udp,http,REJ
192.168.1.240,105.102.8.171,0.9945818096993604,3613.7724745138744,36455.33647099254,85,7,39237,22,icmp,-,RSTR
192.168.1.250,141.160.54.92,2.6274478380362316,72.54377198051193,378.29654292445343,6,3,50172,8080,icmp,dhcp,S0
192.168.1.188,176.155.42.93,0.3827891930247827,148.7978474958244,2597.6462200589845,13,18,61147,23,udp,http,RSTO
192.168.1.99,0.141.65.40,0.5087927757418879,1066.7045684451302,621.9042916587753,2,96,28437,23,udp,http,S0
192.168.1.145,137.250.106.105,11.496325316592952,40.80789677346528,301.24514454127876,9,7,3216,80,tcp,dns,SH
192.168.1.29,222.218.78.23,19.706435301906655,193.84335517461815,309.3436538962601,3,2,47641,2323,tcp,dhcp,SH
192.168.1.157,155.116.146.70,2.668053979617064,101.20850657510582,131.1407342404495,3,1,46264,22,icmp,dns,SH
192.168.1.5,136.189.19.210,0.0090781698343228,156.88107843126932,0.0,4,0,62644,443,tcp,ssl,S0
192.168.1.69,10.0.0.15,0.0072921309357268,1084.1635310807458,47.52822617479403,42,4,51093,2323,udp,ssl,SF
192.168.1.71,213.176.119.225,0.0106779437218849,127.09260720081764,0.0,1,0,56441,80,icmp,ssh,S0
192.168.1.226,10.0.0.20,0.0020976043084623,1271.5007013801142,60.40205928223662,51,1,12724,8080,icmp,ssh,SH
192.168.1.119,36.147.59.132,3.8027362406453897,60.08038255699584,127.92556802686822,3,2,64100,80,icmp,ssl,RSTR
192.168.1.152,5.79.147.0,0.0119218238895988,162.8858305252251,0.0,4,0,14225,23,icmp,ssh,S0
192.168.1.34,78.234.4.232,0.0786320776646289,183.22940331456036,0.0,3,0,62239,23,icmp,-,S0
192.168.1.126,17.183.233.73,0.0526504575845423,162.66535004607152,0.0,4,0,51109,2323,tcp,ssh,S0
192.168.1.72,11.73.69.46,8.644903569908596,512.3184236609437,188.02628198960576,6,1,6614,443,udp,ssl,SH
192.168.1.228,176.230.169.106,4.418462790545983,2465.284027686771,798.1333950350408,2,3,3124,443,udp,dhcp,SF
192.168.1.178,142.148.66.58,0.8868409245942122,1528.9156107801682,969.9749002824544,35,14,29562,443,tcp,http,S0
192.168.1.10,84.150.246.61,0.0491935342711406,132.01676745995923,0.0,1,0,18848,80,udp,-,S0
192.168.1.118,106.24.206.77,0.6792012092240152,162.024089465229,2689.3341951728416,2,89,32532,80,tcp,http,RSTO
192.168.1.22,218.246.26.39,8.58586299245102,47.23104832968599,268.08822307770697,2,1,4397,443,tcp,ssl,REJ
192.168.1.172,10.0.0.20,0.0024196027699254,1239.792704994681,58.50647667782251,53,2,22863,80,icmp,http,RSTR
192.168.1.209,222.138.119.76,2.6469596912644326,136.9906485374304,116.5849122878715,6,4,22580,23,tcp,dns,S0
192.168.1.151,141.114.72.227,3.974593346829516,70.65228702540469,211.83188714495668,4,5,28630,80,icmp,-,RSTO
192.168.1.222,10.54.140.232,3.438932336156948,236.59702427733748,27.410922097678945,2,1,22649,22,tcp,dns,RSTR
192.168.1.186,224.55.229.238,6.594526356275214,272.4804488885486,32.48635051662506,3,1,46444,53,icmp,dhcp,SH
192.168.1.27,97.79.243.216,0.1998738856537311,232.443846180496,137.17648607793242,1,5,36759,53,tcp,ssh,RSTR
192.168.1.222,28.17.247.54,10.197119656134316,324.1068572082273,1879.368512398723,4,2,32904,443,udp,http,SF
192.168.1.186,10.0.0.15,0.0056033968060406,1193.3612382410029,50.679909075811665,38,4,56209,443,udp,dns,SH
192.168.1.254,99.242.174.37,4.359406162201104,363.86817093541777,399.08332512804,19,17,11760,23,tcp,ssl,REJ
192.168.1.99,69.27.76.244,8.835262694623285,74.1325010270734,165.64717474694848,4,7,10884,8080,icmp,http,SH
192.168.1.154,158.143.201.102,0.0476467879514957,158.56614194415295,0.0,3,0,16060,23,udp,dns,S0
192.168.1.105,10.0.0.15,0.0012763907449773,1286.531690202038,57.64096078496274,74,0,33940,23,icmp,dhcp,RSTR
192.168.1.178,1.107.98.136,0.9710016285434196,169.0607808567733,1664.398102779317,9,20,8408,443,tcp,dhcp,RSTR
192.168.1.191,10.0.0.10,0.0350355747515831,1187.5852819727231,45.30525614065048,73,3,18592,23,icmp,dhcp,RSTR
192.168.1.170,49.112.244.56,4.523783294590985,132.07501644984,72.01772507849842,3,6,37346,2323,udp,dns,REJ
192.168.1.99,152.140.36.202,2.3718734215369692,200.9599563556616,476.5157756660392,5,1,61425,443,tcp,http,RSTR
192.168.1.70,10.0.0.10,0.0142298026490984,1060.4666273747205,50.33327925665802,98,2,11752,2323,icmp,http,REJ
192.168.1.227,6.88.102.59,0.2197211393455795,127.78695607500627,0.0,2,0,61043,22,udp,ssl,S0
192.168.1.153,82.130.141.129,0.1356230587717287,145.14602504349438,0.0,3,0,3935,443,icmp,-,S0
192.168.1.169,127.205.158.178,1.4868247002254054,586.402884610235,4472.4213888414515,8,10,15067,53,udp,http,REJ
192.168.1.92,199.181.178.189,7.945440415750776,1898.2890661813856,1246.7319065456754,8,22,56769,443,udp,dhcp,S0
192.168.1.243,90.12.221.125,11.272084604024098,221.11770988151255,90.99101514763636,2,4,18677,22,tcp,dhcp,SF
192.168.1.71,10.0.0.10,0.0058717325550804,1350.3419828428998,60.68959535275138,29,2,21374,443,icmp,ssh,SH
192.168.1.173,166.94.104.143,0.3992861095103158,535.2382902358931,2868.856776012857,24,21,35438,8080,udp,dhcp,S0
192.168.1.65,190.183.153.26,3.21425248200826,5324.819509508518,1535.1009719548565,12,24,60989,23,tcp,-,SH
192.168.1.65,10.0.0.10,0.0110681706031844,1247.7040827223125,48.36532663297793,17,2,44344,8080,udp,-,S0
192.168.1.185,80.110.90.155,0.0003768346120154,605.3854867003064,1687.5028645266316,3,4,22004,8080,tcp,dhcp,REJ
192.168.1.194,243.130.28.254,1.8702976676938576,507.64085769910224,215.58355480508763,4,4,41181,53,icmp,ssh,SH
192.168.1.151,122.14.207.235,6.275265571920649,1268.9709935279457,689.1349346113802,4,18,18039,443,tcp,ssl,SF
192.168.1.180,32.83.218.67,0.0978467830155062,153.23776372480512,0.0,4,0,37987,443,tcp,dns,S0
192.168.1.103,226.122.152.78,0.9369976639324376,59.88561571432188,251.7198114546528,4,7,47538,22,udp,http,SH
192.168.1.115,10.0.0.20,0.0116167717799852,1284.515797118432,41.98541029270272,57,1,60198,23,tcp,ssl,RSTO
192.168.1.141,180.27.49.68,0.2569362740519941,349.41970496142125,3508.134026306106,8,10,52642,53,icmp,ssl,SH
192.168.1.126,138.128.6.142,0.2882330496464889,157.85827021096432,0.0,1,0,58810,443,tcp,ssl,S0
192.168.1.237,10.0.0.10,0.0190166537021484,1202.7054040688952,51.018607063798534,89,3,1136,23,icmp,dhcp,REJ
192.168.1.13,169.72.141.154,2.0918374352307185,298.59626655435306,270.3984558966187,3,0,38244,2323,tcp,dhcp,SF
192.168.1.104,10.0.0.10,0.0001593955872078,1226.3487215331058,40.268846397786795,71,1,21834,443,icmp,http,SF
192.168.1.103,171.243.227.253,0.0363485361397723,165.01173707671552,0.0,3,0,30328,23,tcp,dhcp,S0
192.168.1.232,147.155.70.46,3.801823142536145,190.91661282017944,59.33001352788742,3,1,20095,443,tcp,dns,RSTR
192.168.1.120,13.224.81.167,0.0056300527851309,144.50395390494623,0.0,1,0,27406,23,icmp,dns,S0
192.168.1.45,186.168.13.213,0.1293604004196134,123.59533585958717,0.0,4,0,59165,443,udp,dns,S0
192.168.1.27,18.193.54.225,3.215012722235927,388.646006217871,1577.6913227263894,4,3,48992,443,udp,ssh,RSTR
192.168.1.126,10.0.0.10,0.0004231069460474,1205.2318547822483,54.908285006180954,33,4,41668,80,udp,http,S0
192.168.1.180,245.18.196.196,0.8721933524456189,115.5301992331774,145.5291651352469,5,1,17856,23,icmp,http,RSTR
192.168.1.101,197.17.86.0,0.019908312435549,153.63529366399527,0.0,2,0,14053,53,udp,http,S0
192.168.1.212,203.155.195.39,2.020751043452489,126.98917188343508,85.7737232284606,3,3,4789,2323,tcp,ssh,SH
192.168.1.204,10.0.0.15,0.0137279865775834,1273.1955502509843,44.43071192315038,90,0,4856,22,tcp,-,RSTO
192.168.1.35,73.188.71.64,0.0089277742684493,123.38589737338148,0.0,1,0,33093,8080,udp,dns,S0
192.168.1.207,10.0.0.10,0.0036232302472395,1213.3959907165645,56.79373282956503,50,4,29014,443,icmp,dhcp,RSTR
192.168.1.23,72.166.57.209,0.0817671575219979,2183.951069397137,731.6047709978287,4,17,25510,22,udp,dns,REJ
192.168.1.47,236.171.51.2,0.1010718090624599,121.88490538694089,0.0,3,0,36260,80,icmp,dhcp,S0
192.168.1.73,225.92.166.103,7.76058618064987,153.07460513106827,96.43344842697908,5,4,32580,2323,udp,ssh,RSTO
192.168.1.186,67.109.118.227,0.390552528961235,143.3101996930307,872.009776680341,2,6,14374,53,udp,-,SF
192.168.1.87,10.0.0.10,0.0118292277716634,1106.8732420283736,56.802161054504495,76,1,28080,2323,icmp,-,RSTO
192.168.1.138,196.13.185.181,2.862784225207454,426.50804195732087,4840.961535618308,26,20,4248,8080,icmp,dhcp,S0
192.168.1.78,79.45.71.151,0.0099729661848054,121.37554488066252,0.0,4,0,10891,53,udp,-,S0
192.168.1.41,55.30.205.124,2.588930859454236,2033.758515284126,18501.483470944175,10,29,49378,8080,tcp,ssh,REJ
192.168.1.133,162.8.105.120,0.0562092978351489,146.2534196318725,0.0,1,0,53533,2323,tcp,dns,S0
192.168.1.209,63.135.227.99,0.0417760247665308,517.4298410371165,3640.534719458068,2,27,44757,80,icmp,dns,S0
192.168.1.172,10.0.0.10,0.0302474531820205,1204.7961445981546,53.31843863258515,20,4,64785,53,udp,http,RSTO
192.168.1.17,42.37.168.137,0.6689918294811602,131.97323552390964,54.02278560927968,3,4,5007,23,udp,dns,RSTR
192.168.1.64,35.184.193.234,0.0946370873899798,160.8512008717193,0.0,2,0,19455,23,tcp,http,S0
192.168.1.98,20.44.63.233,0.4934801959368028,91.34435194445084,161.07565144686478,9,1,51324,8080,icmp,ssl,S0
192.168.1.180,10.0.0.15,0.0327285968730114,1426.425812793778,56.82096227599893,35,4,28393,80,udp,http,RSTO
192.168.1.166,87.21.189.112,1.508606021169056,877.9637274761202,2944.355272613958,29,11,57317,443,icmp,dhcp,S0
192.168.1.185,199.29.94.97,0.1748360492066276,159.42146561886906,0.0,1,0,49152,22,tcp,http,S0
192.168.1.237,0.37.122.210,3.378367107697478,1388.0770998750731,76.2533628300803,1,1,44666,23,udp,ssh,S0
192.168.1.225,58.67.178.187,4.595256388689759,144.41773830479747,113.6068592944127,4,2,63144,22,icmp,ssh,SH
192.168.1.108,10.0.0.20,0.0107324346980013,1233.8252487529178,38.46667596794255,88,0,15717,443,udp,dhcp,REJ
192.168.1.214,10.0.0.15,0.0052993013339937,1123.4490634192662,54.22313761664064,25,4,18043,443,udp,-,RSTO
192.168.1.90,186.129.237.218,4.677636171062346,1492.5790975747643,117.34272836896054,10,16,40011,2323,tcp,http,RSTR
192.168.1.80,191.187.177.128,0.1043329119526018,151.6821297577698,0.0,1,0,31372,80,tcp,-,S0
192.168.1.69,20.200.179.181,0.087569167854926,117.93308180682511,0.0,1,0,16409,80,udp,-,S0
192.168.1.208,10.0.0.20,0.0070968066189268,1278.9672804750671,54.31489463263042,68,3,59737,53,tcp,http,RSTO
192.168.1.175,189.156.102.180,3.304663145625754,601.4607682413429,1924.5729449096953,5,78,59846,23,tcp,ssl,SH
192.168.1.9,55.248.168.140,0.1227095907387044,167.88664660217523,0.0,1,0,4585,2323,icmp,ssh,S0
192.168.1.194,60.131.93.193,0.31085580630223,136.61854522680167,0.0,1,0,50747,22,udp,-,S0
192.168.1.250,195.15.244.111,0.0892160879723464,135.45725648350262,0.0,3,0,7984,22,icmp,dhcp,S0
192.168.1.30,92.236.78.182,0.1901005718541606,158.11235186280757,0.0,3,0,52780,80,udp,ssh,S0
192.168.1.65,234.223.80.134,0.7101490879105792,439.09954535928927,657.3623028981817,2,5,14728,23,udp,ssh,SH
192.168.1.18,54.2.248.173,2.1859142277472876,62.10044277120254,118.30317068566204,2,3,2086,80,tcp,dns,S0
192.168.1.230,156.214.200.83,0.14277871213455,185.3565811681036,0.0,4,0,25884,23,udp,-,S0
192.168.1.3,10.0.0.15,0.002947825878568,1212.058993389071,48.9715583686393,91,0,37511,2323,udp,-,SH
192.168.1.56,10.0.0.15,0.0302505451243854,1233.0810925259757,52.619503493413134,69,1,2654,8080,udp,-,RSTR
192.168.1.206,45.83.77.209,0.1830456571112497,145.6409589346271,0.0,3,0,64838,443,icmp,ssl,S0
192.168.1.97,195.51.232.98,6.588915095194795,147.10343478630008,129.71337984105625,5,2,33937,8080,tcp,ssl,RSTR
192.168.1.217,70.253.224.99,0.1639788367418059,126.64999281305948,0.0,3,0,17687,22,udp,dns,S0
192.168.1.140,15.154.234.76,6.8761705143410214,264.21365265124166,201.0955784049726,2,3,33397,22,icmp,dhcp,SH
192.168.1.156,56.117.57.77,0.020490691711102,153.5397262291012,0.0,4,0,56432,22,icmp,dhcp,S0
192.168.1.7,39.2.135.140,0.2499097461880566,134.11566002771133,0.0,2,0,6607,443,udp,http,S0
192.168.1.227,70.185.137.146,0.9344348818922592,31.09247080051799,45.62885655175637,6,2,51095,23,tcp,dhcp,REJ
192.168.1.50,24.208.117.44,0.1027142688049587,169.2775823358982,0.0,2,0,10184,8080,tcp,dhcp,S0
192.168.1.10,73.193.61.232,0.4310226352511046,191.99516796653117,0.0,1,0,30356,443,udp,http,S0
192.168.1.227,195.254.1.132,1.757199083662199,137.83084003496091,137.59772551486836,8,1,14864,2323,tcp,dns,RSTO
192.168.1.253,159.76.59.122,5.9364490355723625,587.8644828659014,202.98501123057255,4,5,14924,80,icmp,dhcp,REJ
192.168.1.233,232.125.28.121,2.1448499864969035,62.02172236495151,165.13894219662276,3,2,23055,443,icmp,dhcp,REJ
192.168.1.151,178.13.203.111,0.0038830541903276,115.8138070958438,0.0,4,0,62890,8080,tcp,ssl,S0
192.168.1.4,10.0.0.20,0.0148668792466672,1288.580313760172,52.30009523762836,31,4,43557,23,udp,ssl,SH
192.168.1.28,23.190.49.18,0.9128920118022568,4126.173163118891,10947.25751325188,20,19,42938,53,udp,-,RSTO
192.168.1.217,163.146.49.168,5.251501914847696,365.8614366713955,19.84757824255385,5,2,30890,443,icmp,dns,SF
192.168.1.221,140.226.30.164,1.8282441654349264,84.73636952141608,244.57621670297615,9,1,33395,2323,tcp,-,RSTO
192.168.1.29,6.146.220.100,0.0075022025621377,139.62638835728563,0.0,2,0,2016,53,icmp,ssl,S0
192.168.1.34,11.166.234.186,0.1130487746446207,170.67781578136783,0.0,3,0,2332,8080,udp,dhcp,S0
192.168.1.155,82.251.228.60,0.1803248046831621,246.3454114036877,121.42381774285356,2,4,41083,2323,tcp,dns,RSTO
192.168.1.226,248.108.44.163,5.239438905266018,85.66487349914333,350.5796358125671,3,2,24323,8080,udp,ssl,S0
192.168.1.22,10.52.80.253,0.0227542096159777,143.48539089499104,0.0,2,0,27173,22,tcp,ssh,S0
192.168.1.223,188.44.187.14,1.5834167171353566,47.049769399573506,103.68844486616672,2,3,25909,22,tcp,http,REJ
192.168.1.162,194.142.189.113,0.0910341441381172,127.48825771936062,0.0,2,0,8406,23,udp,dns,S0
192.168.1.96,129.134.165.119,0.0297704093748196,200.03290070270225,0.0,4,0,24028,443,udp,-,S0
192.168.1.187,239.125.220.119,6.296558623240507,112.09255602864648,81.180610749274,2,2,49502,23,udp,ssl,SH
192.168.1.96,10.0.0.10,0.0120709555844456,1176.4873667450888,36.38527663867271,21,0,50613,2323,udp,dhcp,REJ
192.168.1.17,202.233.180.168,0.1303507682378652,122.5233035020268,0.0,1,0,49160,80,tcp,dhcp,S0
192.168.1.208,80.193.135.253,0.2005286505000771,248.28790763166725,495.038269932837,5,1,63088,53,udp,-,REJ
192.168.1.49,17.138.157.42,1.22955899026446,389.7974214826753,1131.221986410174,4,8,31597,23,udp,ssl,REJ
192.168.1.157,162.141.239.228,4.381218530033215,21.917677060256537,213.25240385999544,4,4,18332,22,udp,dns,RSTO
192.168.1.196,180.50.48.113,0.429241802781688,170.4007301380418,0.0,4,0,50329,443,tcp,dhcp,S0
192.168.1.97,230.77.27.204,0.0496070906363473,142.58771335827788,0.0,1,0,58395,443,udp,dhcp,S0
192.168.1.139,129.129.168.205,0.0347416257036647,146.7973440886672,0.0,1,0,5936,80,tcp,dhcp,S0
192.168.1.21,10.0.0.10,0.0135335211424392,1106.385071072909,54.29340822801734,71,0,16920,443,tcp,dhcp,SH
192.168.1.170,10.0.0.10,0.0001168858605093,1182.6965121303083,43.11840309899728,47,2,42712,80,icmp,-,SF
192.168.1.113,155.48.128.214,2.636531741967602,315.53910598945464,3236.9964800024263,4,4,61435,53,tcp,dns,RSTR
192.168.1.141,10.0.0.20,0.0331042222100963,1180.897223739983,70.17907963833238,93,3,11728,23,tcp,ssh,SF
192.168.1.22,217.241.149.209,0.3625031552436329,4579.4045727770745,1521.4660740962324,56,72,28757,23,udp,http,S0
192.168.1.69,9.203.57.67,5.16886326074619,1293.2453889808685,49238.10013382388,2,29,27513,23,tcp,http,RSTO
192.168.1.75,108.74.55.235,6.598818093235882,1480.9071015300883,435.0378605746311,2,2,19474,2323,udp,ssh,RSTO
192.168.1.171,26.132.165.27,0.0472581541624011,681.4989676183873,2021.92621132549,37,22,19580,22,icmp,dns,REJ
192.168.1.212,8.55.184.164,0.2086360635878265,87.33422121519928,67.16331345581655,3,1,19801,8080,tcp,dns,REJ
192.168.1.29,97.238.65.27,2.188122486238463,2763.247296616685,9009.72386835399,24,63,13136,53,tcp,dhcp,SH
192.168.1.49,10.0.0.15,0.0005869152822031,1209.9886954409212,61.49672018878747,89,3,13470,8080,tcp,dhcp,RSTR
192.168.1.193,10.0.0.20,0.0036275318454058,1231.403162435367,39.88577928628904,87,1,36942,8080,tcp,-,SF
192.168.1.15,255.249.245.134,14.241582784253396,402.0291642594308,71.54562629480564,2,2,16605,23,icmp,ssh,SH
192.168.1.221,56.241.106.130,0.0764193341232405,143.5352407095582,0.0,4,0,11602,22,icmp,dhcp,S0
192.168.1.227,62.137.108.101,2.534742918315919,224.9468286114193,10057.314734520898,13,28,4768,2323,tcp,http,RSTR
192.168.1.14,10.0.0.10,0.0176310282465445,1321.8970789793664,60.02416458672008,72,3,34600,53,udp,ssh,REJ
192.168.1.99,24.194.103.152,19.290719126947874,22.499024533735547,368.895061897824,3,1,33376,23,udp,dhcp,SH
192.168.1.59,6.14.223.92,1.4667064916674886,1304.632467692668,1041.0594885838705,41,14,39425,23,tcp,http,REJ
192.168.1.11,17.132.5.174,0.0468893834745646,165.2879202655406,0.0,3,0,22183,53,icmp,dhcp,S0
192.168.1.83,138.71.106.136,0.1962949272342656,151.82376547687565,0.0,4,0,35868,53,tcp,dns,S0
192.168.1.149,121.0.247.250,4.3118930603080665,112.51508504007111,1040.0379358924995,4,3,10876,443,udp,dhcp,RSTR
192.168.1.4,10.0.0.15,0.0056304801359786,1317.1245789321545,40.35595745388308,38,1,3035,53,icmp,dns,RSTO
192.168.1.211,10.0.0.15,0.009074971971129,1221.8346433397896,45.569051260439295,90,0,47294,2323,udp,dns,S0
192.168.1.253,10.0.0.20,0.0026511092308046,1247.1862338031008,41.17034601553224,20,0,60121,53,icmp,http,REJ
192.168.1.31,10.0.0.10,0.0045107858251089,1318.521029151089,43.29960806444653,18,1,8107,53,icmp,dns,S0
192.168.1.185,178.68.69.168,2.4059812809434407,2947.4054690990542,4803.776143038833,12,9,11980,53,icmp,dns,SF
192.168.1.101,10.0.0.20,0.0058443152237196,1232.5840852147924,62.083478175735635,97,1,19589,443,udp,-,S0
192.168.1.130,151.22.16.143,0.0849585168207213,115.63725019247929,0.0,4,0,8250,23,udp,http,S0
192.168.1.252,194.182.210.198,4.136254099785069,1836.3702422957588,28.320510492405855,3,2,37468,22,tcp,http,RSTO
192.168.1.65,223.222.79.192,1.1578937812530967,1455.7833482996168,906.94078311804,13,4,38971,2323,tcp,dhcp,RSTO
192.168.1.134,118.236.189.215,2.382446965136942,195.20052288159215,123.24253557555306,4,2,50783,80,tcp,dhcp,RSTO
192.168.1.140,10.0.0.15,0.0017634649605168,1242.4165946401915,55.05991109959535,68,2,9970,53,tcp,-,REJ
192.168.1.150,168.241.224.146,0.0929049918802952,134.06021336506225,0.0,3,0,3610,80,tcp,http,S0
192.168.1.230,139.157.36.53,1.4972888842034304,41.88303641321067,442.30171589883184,11,4,41781,22,icmp,dhcp,SF
